split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
iid,gc_artifact_logreg,False,1.0,1600.0,0.5,0.21711505906430598,0.060309692500548844,0.7126828125000001,0.6721240318740744
iid,gc_artifact_logreg,False,0.8,1280.0,0.4859375,0.20920788731242018,0.06073251701124911,0.74144220526002,0.6845186709109441
iid,gc_artifact_logreg,False,0.6,960.0,0.45729166666666665,0.1941699855906943,0.052612715297737145,0.7776551139170774,0.6972969774913569
iid,gc_artifact_logreg,False,0.4,640.0,0.45,0.1733863608449431,0.07151444171401107,0.8151090988005051,0.7228670167482841
iid,gc_artifact_logreg,False,0.2,320.0,0.4625,0.15146749641400073,0.09820500662027923,0.8493478944060339,0.7561657123159534
iid,gc_artifact_logreg,True,1.0,1600.0,0.5,0.2178005842950038,0.06637691306379026,0.7126828125000001,0.6721240318740744
iid,gc_artifact_logreg,True,0.8,1280.0,0.484375,0.21001291114128975,0.06681618745481907,0.7412023460410557,0.6835941209559993
iid,gc_artifact_logreg,True,0.6,960.0,0.4552083333333333,0.19484683093046662,0.06057861825320246,0.7774829250364251,0.6961191614647773
iid,gc_artifact_logreg,True,0.4,640.0,0.44375,0.17296188957933598,0.0774414110790207,0.8166096296882418,0.7214603042825439
iid,gc_artifact_logreg,True,0.2,320.0,0.446875,0.14484497331663315,0.10863863323187982,0.8573742641539251,0.7562340877060201
iid,kmer_logreg,False,1.0,1600.0,0.5,0.2068399504846477,0.11892038399548174,0.778153125,0.7541111744456557
iid,kmer_logreg,False,0.8,1280.0,0.4953125,0.19542009153051976,0.1321426285774946,0.8046923069410398,0.7743185140260553
iid,kmer_logreg,False,0.6,960.0,0.48125,0.1754897704727399,0.13129826906424064,0.8261704827969888,0.7891829915441384
iid,kmer_logreg,False,0.4,640.0,0.478125,0.16487918084460296,0.1443457441922137,0.8509451684865563,0.8105615655004241
iid,kmer_logreg,False,0.2,320.0,0.48125,0.13376772559206063,0.1265606091959494,0.8941871381630417,0.8467066403855404
